seed,shots,base_noise_level,true_attack,predicted_threat,is_rejected,fidelity,bell_c_zz,tv_x,tv_y,tv_z
42,1000,0.0,NORMAL,NORMAL,False,0.9999999999999997,1.0,0.0,0.0,0.0
43,1000,0.0,NORMAL,NORMAL,False,0.9999999999999997,1.0,0.0,0.0,0.0
44,1000,0.0,NORMAL,NORMAL,False,0.9999999999999997,1.0,0.0,0.0,0.0
45,1000,0.0,NORMAL,NORMAL,False,0.9999999999999997,1.0,0.0,0.0,0.0
46,1000,0.0,NORMAL,NORMAL,False,0.9999999999999997,1.0,0.0,0.0,0.0
42,1000,0.0,FORGERY,FORGERY,True,1.0,1.0,0.504,0.0,0.496
43,1000,0.0,FORGERY,FORGERY,True,1.0,1.0,0.504,0.0,0.496
44,1000,0.0,FORGERY,FORGERY,True,1.0,1.0,0.504,0.0,0.496
45,1000,0.0,FORGERY,FORGERY,True,1.0,1.0,0.505,0.0,0.495
46,1000,0.0,FORGERY,FORGERY,True,1.0,1.0,0.506,0.0,0.494
42,1000,0.0,IMPERSONATION,IMPERSONATION,True,0.9999999999999997,1.0,0.0,0.0,0.0
43,1000,0.0,IMPERSONATION,IMPERSONATION,True,0.9999999999999997,1.0,0.0,0.0,0.0
44,1000,0.0,IMPERSONATION,IMPERSONATION,True,0.9999999999999997,1.0,0.0,0.0,0.0
45,1000,0.0,IMPERSONATION,IMPERSONATION,True,0.9999999999999997,1.0,0.0,0.0,0.0
46,1000,0.0,IMPERSONATION,IMPERSONATION,True,0.9999999999999997,1.0,0.0,0.0,0.0
42,1000,0.0,REPLAY,REPLAY,True,0.9999999999999997,1.0,0.0,0.0,0.0
43,1000,0.0,REPLAY,REPLAY,True,0.9999999999999997,1.0,0.0,0.0,0.0
44,1000,0.0,REPLAY,REPLAY,True,0.9999999999999997,1.0,0.0,0.0,0.0
45,1000,0.0,REPLAY,REPLAY,True,0.9999999999999997,1.0,0.0,0.0,0.0
46,1000,0.0,REPLAY,REPLAY,True,0.9999999999999997,1.0,0.0,0.0,0.0
42,1000,0.0,CHANNEL_MANIPULATION,NORMAL,False,0.9699999999999998,1.0,0.030000000000000027,0.02799999999999997,0.02799999999999997
43,1000,0.0,CHANNEL_MANIPULATION,NORMAL,False,0.9699999999999998,1.0,0.030000000000000027,0.02899999999999997,0.02899999999999997
44,1000,0.0,CHANNEL_MANIPULATION,NORMAL,False,0.9699999999999998,1.0,0.030000000000000027,0.02999999999999997,0.02999999999999997
45,1000,0.0,CHANNEL_MANIPULATION,NORMAL,False,0.9699999999999998,1.0,0.030000000000000027,0.02899999999999997,0.02899999999999997
46,1000,0.0,CHANNEL_MANIPULATION,NORMAL,False,0.9689999999999996,1.0,0.031000000000000028,0.02799999999999997,0.02799999999999997
42,1000,0.01,NORMAL,NORMAL,False,0.9959999999999997,1.0,0.0,0.0,0.0
43,1000,0.01,NORMAL,NORMAL,False,0.9959999999999997,1.0,0.0,0.0,0.0
44,1000,0.01,NORMAL,NORMAL,False,0.9959999999999997,1.0,0.0,0.0,0.0
45,1000,0.01,NORMAL,NORMAL,False,0.9959999999999997,1.0,0.0,0.0,0.0
46,1000,0.01,NORMAL,NORMAL,False,0.9959999999999997,1.0,0.0,0.0,0.0
42,1000,0.01,FORGERY,FORGERY,True,0.992,1.0,0.487,0.04099999999999998,0.46
43,1000,0.01,FORGERY,FORGERY,True,0.992,1.0,0.487,0.04199999999999998,0.459
44,1000,0.01,FORGERY,FORGERY,True,0.992,1.0,0.487,0.04299999999999998,0.458
45,1000,0.01,FORGERY,FORGERY,True,0.992,1.0,0.487,0.04299999999999998,0.458
46,1000,0.01,FORGERY,FORGERY,True,0.992,1.0,0.488,0.04199999999999998,0.458
42,1000,0.01,IMPERSONATION,IMPERSONATION,True,0.9959999999999997,1.0,0.0,0.0,0.0
43,1000,0.01,IMPERSONATION,IMPERSONATION,True,0.9959999999999997,1.0,0.0,0.0,0.0
44,1000,0.01,IMPERSONATION,IMPERSONATION,True,0.9959999999999997,1.0,0.0,0.0,0.0
45,1000,0.01,IMPERSONATION,IMPERSONATION,True,0.9959999999999997,1.0,0.0,0.0,0.0
46,1000,0.01,IMPERSONATION,IMPERSONATION,True,0.9959999999999997,1.0,0.0,0.0,0.0
42,1000,0.01,REPLAY,REPLAY,True,0.9959999999999997,1.0,0.0,0.0,0.0
43,1000,0.01,REPLAY,REPLAY,True,0.9959999999999997,1.0,0.0,0.0,0.0
